Titre;Auteur;Infos biblios;Créateur / Éditeur;Sujet;Collection;Édition;Langue;ISBN;ISBN (13);ISSN
Histoire et légendes du Club Méditerranée  ;Peyre , Christiane ;Histoire et légendes du Club Méditerranée [Texte imprimé] / Christiane Peyre, Yves Raynouard;Peyre , Christiane (Paris : Éd. du Seuil, DL 1971);Club Méditerranée ;;;Français;;;
Nam et Sylvie  : roman ;Pham , Duy Khiêm ;Nam et Sylvie [Texte imprimé] : roman / Nam Kim;Pham , Duy Khiêm (Paris : Plon, impr. 1957);;;;Français;;;
L'échelle des âges ;Philibert , Michel ;L'échelle des âges / Michel Philibert;Philibert , Michel (Paris : Seuil, DL 1968);Âges de la vie   Vie   Vieillesse  et autres;L'ordre philosophique;;Français;;;
Biologie et connaissance  : essai sur les relations entre les régulations organiques et les processus cognitifs ;Piaget , Jean ;Biologie et connaissance [Texte imprimé] : essai sur les relations entre les régulations organiques et les processus cognitifs / Jean Piaget, ...;"Piaget , Jean ([Paris] : Gallimard, impr. 1973 ;  18-Saint-Amand :  impr. Bussière)";Biologie humaine   Psychologie cognitive   Théorie de la connaissance ;"Collection Idées ; 288";;Français;;;
Problèmes de psychologie génétique ;Piaget , Jean ;Problèmes de psychologie génétique / Jean Piaget;"Piaget , Jean (Paris : Denoël-Gonthier ; C 1972)";"Enfants -- Psychologie   Cognition -- Chez l&apos;enfant   France  et autres";"Bibliothèque Médiations ; 95";;Français;;;
Psychologie et pédagogie ;Piaget , Jean ;Psychologie et pédagogie / Jean Piaget;Piaget , Jean ([Paris] : Éditions Denoël?, DL 1969);"Psychologie de l&apos;éducation   Pédagogie   Psychology, Educational  et autres";"Bibliothèque médiations ; 59";;Français;2-07-032481-8 ;9782070324811 ;
La psychologie de l'intelligence  ;Piaget , Jean ;La psychologie de l'intelligence [Texte imprimé] / Jean Piaget, ...;Piaget , Jean (Paris : A. Colin, cop. 1967);Intelligence   Enfants -- Psychologie   Pensée ;"Collection U2 ; 29";;Français;;;
Où va l'éducation ;Piaget , Jean ;Où va l'éducation / Jean Piaget;"Piaget , Jean (Paris : Denoël/Gonthier, DL 1972 ; Biarritz : Imprimerie Cino Del Duca, 1972)";Éducation   Éducation -- Philosophie   Éducation -- Finalités  et autres;"Bibliothèque Médiations ; 100";;Français;;;
La carrière de Jean Racine  ;Picard , Raymond ;La carrière de Jean Racine [Texte imprimé] / par Raymond Picard;Picard , Raymond ([Paris] : Gallimard, 1956);Racine, Jean   Biographies -- 1639-1699 ;Bibliothèque des idées;[Nouv. édition revue et augmentée];Français;;;
De Racine au Parthénon : essais sur la littérature et l'art à l'âge classique ;Picard , Raymond ;"De Racine au Parthénon : essais sur la littérature et l'art à l'âge classique / Raymond Picard ; préface de Thierry Maulnier";Picard , Raymond ([Paris] : Gallimard, DL 1977);Racine, Jean   French literature -- 17th century -- History and criticism   French literature -- 18th century -- History and criticism  et autres;Bibliothèque des idées;;Français;2-07-029571-0 ;9782070295715 ;
La peinture romane  ;Pichard , Joseph ;La peinture romane [Texte imprimé] / Joseph Pichard;Pichard , Joseph (Lausanne : Ed. Rencontre, 1965);Peinture romane ;"Histoire intégrale de l'art ; 6";;Français;;;
Un Homme en creux  ;Pichon , Jean-Charles ;Un Homme en creux [Texte imprimé] / Jean-Charles Pichon;"Pichon , Jean-Charles (Paris : Stock, 1973 ;  12-Millau :  impr. Maury)";;;;Français;;;
Panorama de la nouvelle littérature française  ;Picon , Gaëtan ;Panorama de la nouvelle littérature française [Texte imprimé] / Gaétan Picon;Picon , Gaëtan ([Paris] : Gallimard, 1976);Littérature française -- 20e siècle   Histoire et critique ;;Nouvelle éd. revue et corrigée;Français;;;
Les Fronts silencieux  ;Piédoue , Michel ;Les Fronts silencieux [Texte imprimé] / Mchel Piédoue;Piédoue , Michel (Paris : Gallimard, 1968);;;;Français;;;
Zoé des ténèbres  : suivi de La révolution de Gaston Dubois ;Piédoue , Michel ;Zoé des ténèbres [Texte imprimé] : suivi de La révolution de Gaston Dubois / Michel Piédoue;Piédoue , Michel (Paris : Gallimard, 1967);;N.R.F.;;Français;;;
Entretiens avec Pierre Schaeffer  ;Pierret , Marc ;Entretiens avec Pierre Schaeffer [Texte imprimé] / Marc Pierret;Pierret , Marc (Paris : P. Belfond, [1969]);Schaeffer, Pierre   Entretiens -- 1910-1995 ;Entretiens;;Français;;;
Le divan romancier  ;Pierret , Marc ;"Le divan romancier [Texte imprimé] / Marc Pierret . précédé de L'Amateur amaté / de Félix Guattari ; dessins réalisés par Michèle Pierret";Pierret , Marc (Paris : C. Bourgois, impr. 1975);;;;Français;;;
Mascarets  ;Pieyre de Mandiargues , André ;Mascarets [Texte imprimé] / André Pieyre de Mandiargues;Pieyre de Mandiargues , André ([Paris] : Gallimard, 1971);;"Collection Soleil ; 289 .- Le Chemin";;Français;2-07-027813-1  et autres;9782070278138  et autres;
Un document inédit sur la Tunisie au XVIIe siècle  ;Pignon , Jean ;Un document inédit sur la Tunisie au XVIIe siècle [Texte imprimé] / Jean Pignon;Pignon , Jean ([Paris] : Presses universitaires de France, 1963);Tunisie -- 1574-1705 (Régence ottomane) ;"Publications de l'Université de Tunis, Faculté des lettres et sciences humaines . 5me Série : Sources de l'histoire tunisienne ; 3";;Français;;;
Les Gitans  ;Piguet , Jean-Claude ;Les Gitans [Texte imprimé] / Jean-Claude Piguet;Piguet , Jean-Claude ([Paris] : Ed. de minuit, 1959);;;;Français;;;
Nocturnes  ;Piguet , Jean-Claude ;Nocturnes [Texte imprimé] / Jean-Claude Piguet;Piguet , Jean-Claude ([S.l.] : Les Cahiers du gerfaut, 19XX);;;;Français;;;
Hamlet  : anatomia de la ambigüedad ;Pimstein , Felipe ;Hamlet [Texte imprimé] : anatomia de la ambigüedad / Felipe Pimstein;Pimstein , Felipe (Santiago de Chile : Andres Bello, cop. 1972);;;;Espagnol;;;
La France . 1 . Les conditions naturelles et humaines  ;Pinchemel , Philippe ;La France . 1 . Les conditions naturelles et humaines [Texte imprimé] / Philippe Pinchemel, ...;Pinchemel , Philippe (Paris : A. Colin, cop. 1969);France   Géographie ;;3e édition, remaniée et mise à jour, 1969;Français;;;
La France . 2 . Les milieux : campagnes, industrie et villes  ;Pinchemel , Philippe ;La France . 2 . Les milieux : campagnes, industrie et villes [Texte imprimé] / Philippe Pinchemel, ...;Pinchemel , Philippe (Paris : A. Colin, 1969);France   Géographie ;;3e éd., remaniée et mise à jour 1969;Français;;;
L'amour triste et autres textes  ;Pingaud , Bernard ;L'amour triste et autres textes [Texte imprimé] / par Bernard Pingaud . suivi de Les yeux ouverts / par Jean Roudaut;Pingaud , Bernard (Paris : Union générale d'éditions, impr. 1965);;"Le monde en 10/18 ; 231/232";;Français;;;
Entretiens avec Bernard Pingaud  ;Pingaud , Bernard ;Entretiens avec Bernard Pingaud [Texte imprimé] / Brice Parain;Pingaud , Bernard (Paris : Gallimard, impr. 1966);Pingaud, Bernard   Entretiens -- 1923-.... ;;;Français;;;
Le fiston  ;Pinget , Robert ;Le fiston [Texte imprimé] / Robert Pinget;Pinget , Robert (Paris : Ed. de Minuit, 1959);;;;Français;;;
Méthodes des sciences sociales  ;Pinto , Roger ;Méthodes des sciences sociales [Texte imprimé] / par Roger Pinto et Madeleine Grawitz;Pinto , Roger ([Paris] : Dalloz, 1971);;Précis Dalloz;4. éd.;Français;;;
Traité du zen et de l'entretien des motocyclettes : récit ;Pirsig , Robert M. ;"Traité du zen et de l'entretien des motocyclettes : récit / Robert M. Pirsig ; trad. de l'américain par Maurice Pons, Andrée et Sophie Mayoux ; préf. d'Octave Mannoni";"Pirsig , Robert M. (Paris : Éd. du Seuil, DL1978 ;  37-Tours :  Impr. Mame)";Autobiographie américaine ;"Points. Roman ; 151";;Français;2-02-006807-9 ;9782020068079 ;
L'animation socio-culturelle  : espace d'affrontement idéologique ;Pirson-De Clercq , Jacqueline ;"L'animation socio-culturelle [Texte imprimé] : espace d'affrontement idéologique / Jacqueline Pirson-de-Clercq... Ronald Pirson ; préface de Henri Janne";"Pirson-De Clercq , Jacqueline (Paris : F. Nathan ; Bruxelles : Ed. Labor, 1977)";Animation socio-culturelle ;Recherche et action culturelle-éducation permanente;;Français;2-8259-0046-X ;9782825900468 ;
Montage  ;Pittolo , Véronique ;Montage [Texte imprimé] / Véronique Pittolo;"Pittolo , Véronique ([Paris] : Fourbis, 1992 ;  92-Châtillon :  Impr. SEG)";;Collection Biennale internationale des poètes en Val-de-Marne;;Français;2-907374-55-9 ;9782907374552 ;
Une histoire politique de l'armée . 2 . De De Gaulle à De Gaulle  : 1940-1967 ;Planchais , Jean ;Une histoire politique de l'armée . 2 . De De Gaulle à De Gaulle [Texte imprimé] : 1940-1967 / Jean Planchais;Planchais , Jean (Paris : Ed. du Seuil, DL 1967);Gaulle, Charles de   Armées   France  et autres;"L'histoire immédiate .- Une histoire politique de l'armée ; 2";;Français;;;
"Apologie de Socrate  Criton ; Phédon ";Platon ;"Apologie de Socrate [Texte imprimé] Criton ; Phédon / Platon ; trad., notices et notes par Émile Chambry";Platon ([Paris] : Flammarion, 1965);Philosophie antique   Platonisme ;"G.F. ; 75";;Français;2-08-070075-8 ;9782080700759 ;
Théétète  Parménide ;Platon ;"Théétète [Texte imprimé] Parménide / Platon ; traduction, notices et notes par Émile Chambry";Platon (Paris : Garnier-Flammarion, [cop. 1967]);Platon (0427?-0348? av. J.-C.) -- Théétète   Platon (0427?-0348? av. J.-C.) -- Parménide ;"GF ; 163 .- Garnier-Flammarion ; 163";;Français;2-08-070163-0 ;9782080701633 ;
Le banquet  Phèdre ;Platon ;"Le banquet [Texte imprimé] Phèdre / Platon ; traduction, notices et notes par Émile Chambry";Platon ([Paris] : Garnier-Flammarion, cop. 1964);Philosophie antique   Platonisme   Philosophie ;"GF ; 4";;Français;978-2-0807-0004-9  et autres;978-2-0807-0004-9  et autres;
"""Socrate"" de Platon  ";Platon ;"""Socrate"" de Platon [Texte imprimé] / présenté par André Boisserie";Platon (Paris : Hachette, 1938);Socrate -- 0469?-0399? av. J.-C. ;Classiques Athéna;;Français;;;
Le Banquet  ;Platon ;"Le Banquet [Texte imprimé] / Platon ; trad. et notes de Léon Robin ; introd. de Yvon Belaval";Platon (Paris : Gallimard, 1967);;Livre de poche classique;;Français;;;
"Protagoras ; Euthydème ; Gorgias ; Ménexène ; Ménon ; Cratyle ";Platon ;"Protagoras ; Euthydème ; Gorgias ; Ménexène ; Ménon ; Cratyle / Platon ; traduction, notices et notes par Émile Chambry";Platon (Paris : Flammarion, copyright 1967);Dialogues (genre littéraire) grecs   Philosophie antique   Platonisme  et autres;"G.F. ; 146";;Français;978-2-0813-8671-6  et autres;978-2-0813-8671-6  et autres;
Art et littérature ;Pleynet , Marcelin ;Art et littérature / Marcelin Pleynet;Pleynet , Marcelin ([Paris] : Éditions du Seuil, DL 1977);Art et littérature   Arts ;"Collection ""Tel quel"" ; 59";;Français;2-02-004653-9 ;9782020046534 ;
Moscou : roman ;Plievier , Theodor , romancier ;"Moscou : roman / Théodor Plievier ; traduit de l'allemand par Max Roth";"Plievier , Theodor , romancier (Paris : Flammarion ; 1953)";Littérature allemande -- 20e siècle   Roman allemand ;;;Français;;;
Dans le carnaval de l'histoire  : mémoires ;Pliouchtch , Leonid Ivanovitch ;"Dans le carnaval de l'histoire [Texte imprimé] : mémoires / Léonide Pliouchtch ; [avec la collaboration de Tania Pliouchtch] ; traduit du [manuscrit] russe par Simon Vincent";"Pliouchtch , Leonid Ivanovitch (Paris : Éd. du Seuil, 1977 ;  53-Mayenne :  impr. Floch)";"Pliouchtch, Leonid Ivanovitch   Écrits d&apos;immigrés russes   Dissidents  et autres";Actuels;;Français;2-02-004639-3 ;9782020046398 ;
Les Grands de ce monde ;Poirot-Delpech , Bertrand ;Les Grands de ce monde / Bertrand Poirot-Delpech;"Poirot-Delpech , Bertrand ([Paris] : Gallimard, 1976 ;  53-Mayenne :  impr. Floch)";Roman français ;Le Cercle du nouveau livre;;Français;2-07-029459-5 ;9782070294596 ;
La Vie incertaine  : roman ;Polac , Michel ;La Vie incertaine [Texte imprimé] : roman / Michel Polac;Polac , Michel (Paris : Gallimard, 1956);;;;Français;;;
Pour René Char  : la place de l'origine ;Poli , Jean-Dominique ;Pour René Char [texte imprimé] : la place de l'origine / Jean-Dominique Poli / avant-propos d'Yves Battistini;"Poli , Jean-Dominique (La Rochelle : Rumeur des âges, 1997 ;  85-Le Poiré-sur-Vie :  Impr. graphique de l'Ouest)";Char, René   Mythe -- Dans la littérature   Enfants  et autres;;;Français;2-84327-006-5  et autres;9782843270062  et autres;
Le IIIe Reich et les juifs :  ;Poliakov , Léon ;"Le IIIe Reich et les juifs : [""das dritte Reich und die Juden""] / Par L. Poliakov et J. Wulf";"Poliakov , Léon (Paris : Gallimard, 1959 ;  Montrouge :  Impr. moderne)";;Problèmes et documents;;Français;;;
Écrits . 2 . les fondements de la psychologie  ;Politzer , Georges ;"Écrits . 2 . les fondements de la psychologie [Texte imprimé] / Georges Politzer ; textes réunis par Jacques Debouzy";Politzer , Georges (Paris : Éditions sociales, impr. 1969);;;;Français;;;
Écrits . 1 . La philosophie et les mythes ;Politzer , Georges , philosophe ;"Écrits . 1 . La philosophie et les mythes / Georges Politzer ; textes réunis par Jacques Debouzy ; avant-propos de Georges Cogniot";Politzer , Georges , philosophe (Paris : Éditions sociales, DL 1969);Philosophie   Mythologie   Philosophie marxiste  et autres;;;Français;;;
Critique des fondements de la psychologie : la psychologie et la psychanalyse ;Politzer , Georges , philosophe ;Critique des fondements de la psychologie : la psychologie et la psychanalyse / par Georges Politzer;Politzer , Georges , philosophe (Paris : PUF, 1968);Psychology   Psychoanalysis   Psychanalyse  et autres;A la pensée;[3e édition];Français;;;
Assez décodé !  ;Pommier , René ;Assez décodé ! [Texte imprimé] / René Pommier;"Pommier , René (Paris : Editions Roblot, impr. 1978 ;  61-La Ferté-Macé :  impr. Gallier)";Molière   Hugo, Victor   Flaubert, Gustave  et autres;;;Français;2-85667-018-0 ;9782856670187 ;
La colonisation et l'agriculture européennes en Tunisie depuis 1881 : étude de géographie historique et économique ;Poncet , Jean ;La colonisation et l'agriculture européennes en Tunisie depuis 1881 : étude de géographie historique et économique / Jean Poncet;"Poncet , Jean (Paris ; La Haye : Mouton, 1962, cop. 1961)";Agriculture   Agricultural colonies -- Tunisia   Agriculture -- Tunisia  et autres;"Recherches méditerranéennes . Études ; 2";;Français;;;
Par le détroit de Bering ;Poncins , Gontran de , explorateur ;"Par le détroit de Bering / Gontran de Poncins ; avec 16 photos de l'auteur";Poncins , Gontran de , explorateur (Paris : Librairie Stock, 1953);Audrey -- Ship   Voyages and travels   Bering Strait  et autres;L'homme sur la Terre;;Français;;;
Méthodes ;Ponge , Francis ;Méthodes / Francis Ponge;Ponge , Francis ([Paris] : Gallimard, DL 1971);;"Idées ; 249";;Français;2-07-035249-8 ;9782070352494 ;
Le passager de la nuit : roman ;Pons , Maurice ;Le passager de la nuit : roman / Maurice Pons;Pons , Maurice (Paris : Julliard, impr. 1960);Roman français ;;;Français;;;
Mademoiselle B  : roman ;Pons , Maurice ;Mademoiselle B [Texte imprimé] : roman / Maurice Pons;"Pons , Maurice (Paris : Denoe??l, 1973 ;  86-Ligugé :  impr. Aubin)";;;;Français;;;
Le cordonnier Aristote  : roman ;Pons , Maurice ;Le cordonnier Aristote [Texte imprimé] : roman / Maurice Pons;Pons , Maurice (Paris : R. Julliard, 1958);;;;Français;;;
La Baleine blanche ;Pons , René ;La Baleine blanche / René Pons;Pons , René ([Paris] : Gallimard, 1972);;Le chemin;;Français;2-07-028239-2 ;9782070282395 ;
Après Freud  ;Pontalis , Jean-Bertrand ;Après Freud [Texte imprimé] / J.-B. Pontalis;Pontalis , Jean-Bertrand ([Paris] : Gallimard, impr. 1971, c1968);Freud, Sigmund   Psychanalyse   Psychanalyse et littérature -- Influence -- 1856-1939 ;"Idées . Philosophie ; 237";[Nouvelle édition revue et augmentée];Français;2-07-035237-4 ;9782070352371 ;
Image et magie  ;Pontoise . Musées ;Image et magie [Texte imprimé] : Folon, André François, Ronald Searle, Topor : [exposition, Musée de Pontoise, du 15 décembre 1973 au 15 février 1974] / Musée de Pontoise;Pontoise . Musées ([Pontoise] : Musée de Pontoise, [ca 1974]);;;;Français;;;
Défunts sous les amandiers en fleurs  ;Porcel , Baltasar ;"Défunts sous les amandiers en fleurs [Texte imprimé] / Baltasar Porcel ; trad. du catalan par Pierre Lagarde";Porcel , Baltasar (Eglise-Neuve-d'Issac (24400 Mussidan) : Fédérop, 1988);;;;Français;2-85792-062-8 ;9782857920625 ;
Galop vers les ténèbres  : roman ;Porcel , Baltasar ;"Galop vers les ténèbres [Texte imprimé] : roman / Baltasar Porcel ; traduit du catalan par Mathilde Bensoussan";Porcel , Baltasar (Le Méjan : Actes sud, impr. 1990);;Lettres catalanes;;Français;2-86869-478-0 ;9782868694782 ;
Les mélodies grégoriennes  ;Pothier , Joseph ;"Les mélodies grégoriennes [Texte imprimé] / Dom Joseph Pothier ; introduction de Jacques Chailley";"Pothier , Joseph ([Paris] : Stock, 1980 ;  27-Évreux :  impr. Hérissey)";Chants grégoriens   19e siècle ;"Stock musique ; 6";;Français;2-234-01213-9 ;9782234012134 ;
Voyages en Turquie et en Égypte, en Hollande, au Maroc  ;Potocki , Jan ;"Voyages en Turquie et en Égypte, en Hollande, au Maroc [Texte imprimé] / Jean Potocki ; introd. et notes de Daniel Beauvois, ...";"Potocki , Jan (Paris : Fayard, 1980 ;  59-Condé-sur-l'Escaut :  impr. C. Descamps)";Voyages   Récits personnels ;"Voyages ; 1 .- La Bibliothèque des voyageurs";;Français;2-213-00864-7 ;9782213008646 ;
Le Feu sacré ;Poulaille , Henry ;Le Feu sacré / Henry Poulaille;"Poulaille , Henry (Paris : Stock, 1980 ;  18-Saint-Amand-Montrond :  Impr. S.E.P.C.)";;Roman/Stock;;Français;2-234-01313-5 ;9782234013131 ;
Pouvoir politique et classes sociales . II ;Poulantzas , Nicos ;Pouvoir politique et classes sociales . II / Nicos Poulantzas;Poulantzas , Nicos (Paris : François Maspero, 1971);Lutte des classes   Capitalisme -- Analyse marxiste   Classes sociales  et autres;"Petite collection Maspero ; 78";;Français;2-7071-0425-6 ;9782707104250 ;
Les chemins actuels de la critique ;Poulet , Georges ;"Les chemins actuels de la critique / Centre culturel international de Cerisy-la-Salle, [colloque du] 2 - 12 septembre 1966 ; sous la direction de Georges Poulet ; textes revus et publiés par les soins de Jean Ricardou";Poulet , Georges ([Paris] : Plon, DL 1967);Critique littéraire   20e siècle   Criticism  et autres;Faits et thèmes;;Français;;;
Les métamorphoses du cercle ;Poulet , Georges ;Les métamorphoses du cercle / Georges Poulet;"Poulet , Georges ([Paris] : Plon, DL 1961 ; C 1961)";Littérature française   Littérature européenne   Histoire et critique ;Cheminements;;Français;;;
Denis Pouppeville ;Pouppeville , Denis ;Denis Pouppeville [Texte imprimé];Pouppeville , Denis (Paris : A.B. Fouray : Aréa, c1987);Poupeville, Denis -- 19- -- Catalogues ;"Collection privée ; no 1";;Français;;;
La pêche miraculeuse  : roman ;Pourtalès , Guy de ;La pêche miraculeuse [Texte imprimé] : roman / Guy de Pourtalès;Pourtalès , Guy de (Paris : Nouvelle revue française, impr. 1937);;;;Français;;;
Une philosophie de la solitude  ;Powys , John Cowper ;Une philosophie de la solitude [Texte imprimé] / John Cowper Powys;Powys , John Cowper (Paris : la Différence, 1984);Solitude   Connaissance de soi ;Philosophia perennis;;Français;2-7291-0134-9 ;9782729101343 ;
Mrs Moggs va voir la mer  : et autres contes de la colline de Madder ;Powys , Theodore Francis ;"Mrs Moggs va voir la mer [Texte imprimé] : et autres contes de la colline de Madder / Theodore Francis Powys ; trad. de l'anglais par Patrick Reumaux";"Powys , Theodore Francis (Paris : Hatier, 1990 ;  53-Mayenne :  Impr. Floch)";;Terre Étrangère;;Français;2-218-02721-6 ;9782218027215 ;
Tolstoi est mort  : documents inédits ;Pozner , Vladimir ;Tolstoi est mort [Texte imprimé] : documents inédits / Vladimir Pozner;Pozner , Vladimir (Paris : La Bibliothèque française, 1935);;;;Français;;;
Deuil en 24 heures  : roman ;Pozner , Vladimir ;Deuil en 24 heures [Texte imprimé] : roman / Vladimir Pozner;Pozner , Vladimir (Paris : B. Grasset, DL1946);;;;Français;;;
La scène et la fabrique des corps  : ethnoscénologie du spectacle vivant en Occident, Ve siècle av. J.-C.-XVIIIe siècle ;Pradier , Jean-Marie ;La scène et la fabrique des corps [Texte imprimé] : ethnoscénologie du spectacle vivant en Occident, Ve siècle av. J.-C.-XVIIIe siècle / Jean-Marie Pradier;"Pradier , Jean-Marie (Talence : Presses universitaires de Bordeaux, 1997 ;  33-Bordeaux :  Impr. Pleine page)";Esthétique   Europe   Histoire  et autres;Corps de l'esprit;;Français;2-86781-209-7 ;9782867812095 ;
Le repas de la mort ;Preiswerk , Yvonne ;"Le repas de la mort / Yvonne Preiswerk ; préface de Georges Balandier";Preiswerk , Yvonne (Sierre : Monographic, 1983);"Rites et cérémonies funéraires   Études comparatives   Anniviers (Suisse ; val)  et autres";Mémoire vivante;;Français;;;
La Chasse  : pièce en trois tableaux ;Pressmann , Élie ;La Chasse [Texte imprimé] : pièce en trois tableaux / Elie Pressmann;"Pressmann , Élie (Paris : Stock, 1971 ;  Paris Mesnil Ivry :  Impr. Firmin-Didot)";;Théâtre ouvert;;Français;;;
Le Chalutier Minium  : roman ;Prévost , Alain ;Le Chalutier Minium [Texte imprimé] : roman / Alain Prévost;Prévost , Alain (Paris : Ed. du Seuil, 1959);;;;Français;;;
Le Port des absents  : roman ;Prévost , Alain ;Le Port des absents [Texte imprimé] : roman / Alain Prévost;Prévost , Alain (Paris : Éditions du Seuil, 1967);;;;Français;;;
Janet, Freud et la psychologie clinique ;Prévost , Claude-Marcel ;Janet, Freud et la psychologie clinique / Claude M. Prévost;Prévost , Claude-Marcel (Paris : Payot, DL 1973);Freud, Sigmund   Janet, Pierre   Psychologie clinique  et autres;"Petite bibliothèque Payot ; 228";;Français;2-228-32280-6 ;9782228322805 ;
Leçons de psychologie générale et sociale : Orthophonie 2 ;Prévost , Claude-Marcel ;Leçons de psychologie générale et sociale : Orthophonie 2 / Claude Prévost,... Anne-Marie Rocheblave-Spenlé,...;Prévost , Claude-Marcel (Paris : J.-B. Baillière et fils, DL 1972);Psychologie   Psychologie sociale ;"Les Cahiers Baillière . Orthophonie ; 2 .- Les Cahiers Baillière ; 9";2e édition;Français;;;
Tristes banlieues  : roman ;Prévost , Walter ;Tristes banlieues [Texte imprimé] : roman / Walter Prévost;Prévost , Walter (Paris : B. Grasset, 1978);;;;Français;2-246-00575-2 ;9782246005759 ;
Témoignages 1  : essai ethnopsychologique ;Price-Mars , Louis ;Témoignages 1 [Texte imprimé] : essai ethnopsychologique / Dr Louis Mars;Price-Mars , Louis (Madrid : [s.n.], 1966);Ethnopsychologie   Haïti ;;;Français;;;
Séance de lanterne magique  ;Prieur , Jérôme ;Séance de lanterne magique [Texte imprimé] / Jérôme Prieur;Prieur , Jérôme ([Paris] : Gallimard, 1985);Lanterne ;Le Chemin;;Français;2-07-070374-6 ;9782070703746 ;
Cérémonial pour un combat  ;Prin , Claude ;Cérémonial pour un combat [Texte imprimé] / Claude Prin;"Prin , Claude (Paris : Éd. du Seuil, 1971 ;  Saint-Amand (Cher) :  Impr. Bussière)";;"Théatre ; 30";;Français;;;
Une nuit sans sommeil  ;Privat , Bernard ;Une nuit sans sommeil [Texte imprimé] / Bernard Privat;Privat , Bernard (Paris : Gallimard, 1966);;;;Français;;;
Les dégâts du progrès  : les travailleurs face au changement technique ;Progrès technique, organisation du travail, conflits ;Les dégâts du progrès [Texte imprimé] : les travailleurs face au changement technique / [Colloque organisé par la] CFDT [Paris, 22-24 avril 1976];"Progrès technique, organisation du travail, conflits (1976 ; Paris) (Paris : Éd. du Seuil, DL1977)";Division du travail   Marché du travail -- Effets des innovations   Progrès scientifique et technique  et autres;"Points . Politique ; 85";;Français;2-02-004620-2 ;9782020046206 ;
Oeuvres choisies  ;Proudhon , Pierre-Joseph ;"Oeuvres choisies [Texte imprimé] / Proudhon ; textes présentés par Jean Bancal";Proudhon , Pierre-Joseph ([Paris] : Gallimard, impr. 1967);Proudhon, Pierre-Joseph   Socialisme   19e siècle -- Pensée politique et sociale -- 1809-1865 ;"Idées . Philosophie ; 139";;Français;;;
Carnets de P.-J. Proudhon  ;Proudhon , Pierre-Joseph ;"Carnets de P.-J. Proudhon [Texte imprimé] / texte inédit et intégral établi sur les manuscrits autographes avec annotations et appareil critique de Pierre Haubtmann ; présentation de Suzanne Henneguy et Jeanne Fauré-Frémiet . 4 . 1850-1851";"Proudhon , Pierre-Joseph (Paris : M. Rivière, 1974 ;  25-Besançon :  impr. Jacques et Demontrond)";;"Carnets de P.-J. Proudhon ; 4";;Français;;;
Pastiches et mélanges  ;Proust , Marcel ;Pastiches et mélanges [Texte imprimé] / Marcel Proust;Proust , Marcel ([Paris] : Gallimard, 1970);;"Idées ; 215 . Littérature";;Français;2-07-035215-3 ;9782070352159 ;
Contre Sainte-Beuve  ;Proust , Marcel ;"Contre Sainte-Beuve [Texte imprimé] / Marcel Proust ; préface de Bernard de Fallois";Proust , Marcel ([Paris] : Gallimard, impr. 1965);Sainte-Beuve, Charles-Augustin   Critique et interprétation -- 1804-1869 ;"Idées ; 81";;Français;;;
L'Envahie  ;Proy , Dominique ;L'Envahie [Texte imprimé] : [roman] / Dominique Proy;Proy , Dominique ([Paris] : Gallimard, 1968);;Le Chemin;;Français;;;
Voyage en URSS  ;Pujol , Pierre ;Voyage en URSS [Texte imprimé] / par Pierre Pujol;Pujol , Pierre (Dreux : P. Joseph, 1936);Communisme   URSS ;;;Français;;;
Portrait de Raphaël  ;Quentin-Maurer , Nicole ;Portrait de Raphaël [Texte imprimé] / Nicole Quentin-Maurer;Quentin-Maurer , Nicole ([Paris] : Gallimard, 1970);;Le Chemin;;Français;;;
Télématique, mythes et réalités  ;Quiniou , Jean-Claude ;Télématique, mythes et réalités [Texte imprimé] / Jean-Claude Quiniou;"Quiniou , Jean-Claude ([Paris] : Gallimard, 1980 ;  18-Saint-Amand :  impr. Bussière)";Télématique   Téléinformatique ;"Collection Idées . Sciences ; 433";;Français;2-07-035433-4 ;9782070354337 ;
Lazare et ses voix  ;Quinsat , Gilles ;Lazare et ses voix [Texte imprimé] / Gilles Quinsat;"Quinsat , Gilles ([Paris] : Gallimard, 1977 ;  53-Mayenne :  impr. Floch)";;Le Chemin;;Français;2-07-029595-8 ;9782070295951 ;
L'Enfant du lignage  : du sevrage à la classe d'âge chez les Wolof du Sénégal ;Rabain , Jacqueline ;"L'Enfant du lignage [Texte imprimé] : du sevrage à la classe d'âge chez les Wolof du Sénégal / Jacqueline Rabain ; préface par Edmond Ortigues";"Rabain , Jacqueline (Paris : Payot, 1979 ;  18-Saint-Amand :  Impr. S.E.P.C.)";"Enfants   Wolof (peuple d&apos;Afrique)   Sénégal  et autres";Bibliothèque scientifique;;Français;2-228-12290-4 ;9782228122900 ;
Oeuvres de Rabelais  . tome sixième . Des songes drolatiques de Pantagruel ;Rabelais , François ;Oeuvres de Rabelais [Texte imprimé] . tome sixième . Des songes drolatiques de Pantagruel / par Esmangart et Eloi Johanneau;"Rabelais , François (A Paris : chez Dalibon, 1823 ;  Imprimerie de Jules Didot l'aîné)";;;"Edition variorum augmentée de pièces inédites ; des Songes drolatiques de Pantagruel, ouvrage posthume avec l'explication en regard ; des Remarques de Le Duchat, de Bernier, de Le Motteux, de l'abbé de Marsy, de Voltaire, de Ginguené, etc.. et d'un nouveau commentaire historique et philologique par Esmangart et Eloi Johanneau";Français;;;
